MatchId;Round;Host;Guest;Date;Hour;Attendance;HostGoals;GuestGoals
1;1;Górnik Zabrze;Cracovia;18 lipca;19:00;16748;0;2
2;1;Jagiellonia Białystok;Piast Gliwice;16 lipca;17:30;8236;2;0
3;1;Korona Kielce;Legia Warszawa;16 lipca;20:00;14515;1;1
4;1;Lech Poznań;Stal Mielec;16 lipca;15:00;12421;0;2
5;1;Pogoń Szczecin;Widzew Łódź;17 lipca;17:30;9339;2;1
6;1;Radomiak Radom;Miedź Legnica;17 lipca;12:30;4120;1;1
7;1;Raków Częstochowa;Warta Poznań;15 lipca;18:00;4837;1;0
8;1;Wisła Płock;Lechia Gdańsk;17 lipca;15:00;3105;3;0
9;1;Zagłębie Lubin;Śląsk Wrocław;15 lipca;20:30;9890;0;0
10;2;Cracovia;Korona Kielce;23 lipca;17:45;8159;2;0
11;2;Jagiellonia Białystok;Widzew Łódź;22 lipca;20:30;11781;0;2
12;2;Lechia Gdańsk;Górnik Zabrze;18 listopada;20:30;5306;2;1
13;2;Legia Warszawa;Zagłębie Lubin;23 lipca;20:00;12216;2;0
14;2;Miedź Legnica;Lech Poznań;1 lutego;19:00;4547;2;2
15;2;Piast Gliwice;Raków Częstochowa;6 października;20:45;3017;0;1
16;2;Stal Mielec;Radomiak Radom;25 lipca;19:00;5827;1;1
17;2;Śląsk Wrocław;Pogoń Szczecin;24 lipca;17:30;10879;2;1
18;2;Warta Poznań;Wisła Płock;22 lipca;18:00;1575;0;4
19;3;Cracovia;Legia Warszawa;29 lipca;20:30;13128;3;0
20;3;Korona Kielce;Śląsk Wrocław;1 sierpnia;19:00;9940;3;1
21;3;Lech Poznań;Wisła Płock;31 lipca;17:30;14131;1;3
22;3;Miedź Legnica;Warta Poznań;30 lipca;20:00;4061;1;2
23;3;Piast Gliwice;Zagłębie Lubin;29 lipca;18:00;3412;0;1
24;3;Pogoń Szczecin;Jagiellonia Białystok;31 lipca;15:00;8981;1;0
25;3;Radomiak Radom;Górnik Zabrze;30 lipca;17:30;3701;0;3
26;3;Raków Częstochowa;Stal Mielec;31 lipca;17:30;4438;3;2
27;3;Widzew Łódź;Lechia Gdańsk;31 lipca;20:00;16486;2;3
28;4;Górnik Zabrze;Raków Częstochowa;7 sierpnia;20:00;16905;1;0
29;4;Jagiellonia Białystok;Radomiak Radom;6 sierpnia;17:30;9113;1;2
30;4;Lechia Gdańsk;Korona Kielce;6 sierpnia;15:00;8370;0;1
31;4;Legia Warszawa;Piast Gliwice;5 sierpnia;20:30;19045;2;0
32;4;Stal Mielec;Cracovia;5 sierpnia;18:00;6543;2;0
33;4;Śląsk Wrocław;Widzew Łódź;6 sierpnia;20:00;15145;0;0
34;4;Warta Poznań;Pogoń Szczecin;7 sierpnia;15:00;2011;1;2
35;4;Wisła Płock;Miedź Legnica;8 sierpnia;19:00;3500;4;1
36;4;Zagłębie Lubin;Lech Poznań;7 sierpnia;17:30;11039;1;1
37;5;Cracovia;Piast Gliwice;13 sierpnia;15:00;7654;0;1
38;5;Górnik Zabrze;Stal Mielec;13 sierpnia;17:30;13043;1;3
39;5;Korona Kielce;Warta Poznań;15 sierpnia;19:00;12743;0;1
40;5;Lech Poznań;Śląsk Wrocław;14 sierpnia;20:00;11627;0;1
41;5;Miedź Legnica;Zagłębie Lubin;12 sierpnia;18:00;5188;0;1
42;5;Pogoń Szczecin;Wisła Płock;13 sierpnia;20:00;9124;2;2
43;5;Radomiak Radom;Lechia Gdańsk;14 sierpnia;15:00;3622;4;1
44;5;Raków Częstochowa;Jagiellonia Białystok;14 sierpnia;17:30;5348;2;2
45;5;Widzew Łódź;Legia Warszawa;12 sierpnia;20:30;17045;1;2
46;6;Jagiellonia Białystok;Miedź Legnica;19 sierpnia;18:00;8407;2;1
47;6;Lechia Gdańsk;Lech Poznań;31 sierpnia;20:30;8036;0;3
48;6;Legia Warszawa;Górnik Zabrze;19 sierpnia;20:30;23210;2;2
49;6;Piast Gliwice;Stal Mielec;21 sierpnia;17:30;3549;4;0
50;6;Raków Częstochowa;Pogoń Szczecin;31 sierpnia;18:00;5012;1;0
51;6;Śląsk Wrocław;Cracovia;20 sierpnia;17:30;9632;1;1
52;6;Warta Poznań;Widzew Łódź;20 sierpnia;20:00;2187;0;1
53;6;Wisła Płock;Korona Kielce;20 sierpnia;15:00;3500;2;1
54;6;Zagłębie Lubin;Radomiak Radom;21 sierpnia;15:00;4908;0;1
55;7;Cracovia;Warta Poznań;28 sierpnia;12:30;6548;0;2
56;7;Górnik Zabrze;Jagiellonia Białystok;26 sierpnia;18:00;12649;1;1
57;7;Lech Poznań;Piast Gliwice;28 sierpnia;17:30;11223;1;0
58;7;Miedź Legnica;Lechia Gdańsk;27 sierpnia;15:00;4264;2;1
59;7;Pogoń Szczecin;Zagłębie Lubin;27 sierpnia;17:30;9222;3;0
60;7;Radomiak Radom;Korona Kielce;27 sierpnia;12:30;4120;0;2
61;7;Stal Mielec;Legia Warszawa;26 sierpnia;20:30;6183;0;1
62;7;Śląsk Wrocław;Raków Częstochowa;28 sierpnia;15:00;11710;1;4
63;7;Widzew Łódź;Wisła Płock;27 sierpnia;20:00;17004;2;1
64;8;Cracovia;Raków Częstochowa;3 września;20:00;7182;3;0
65;8;Korona Kielce;Pogoń Szczecin;4 września;15:00;12583;1;2
66;8;Lech Poznań;Widzew Łódź;4 września;17:30;23725;2;0
67;8;Lechia Gdańsk;Warta Poznań;3 września;17:30;4770;0;0
68;8;Legia Warszawa;Radomiak Radom;2 września;20:30;25446;1;0
69;8;Piast Gliwice;Miedź Legnica;5 września;18:00;3090;2;1
70;8;Stal Mielec;Śląsk Wrocław;3 września;15:00;5252;2;0
71;8;Wisła Płock;Górnik Zabrze;5 września;20:30;3500;1;1
72;8;Zagłębie Lubin;Jagiellonia Białystok;4 września;12:30;4951;1;1
73;9;Górnik Zabrze;Piast Gliwice;10 września;20:00;18068;3;3
74;9;Jagiellonia Białystok;Stal Mielec;12 września;19:00;6519;4;0
75;9;Miedź Legnica;Korona Kielce;11 września;12:30;3689;2;2
76;9;Pogoń Szczecin;Lech Poznań;11 września;15:00;16859;2;2
77;9;Radomiak Radom;Wisła Płock;10 września;17:30;2763;2;0
78;9;Raków Częstochowa;Legia Warszawa;11 września;17:30;5500;4;0
79;9;Śląsk Wrocław;Lechia Gdańsk;10 września;15:00;8603;2;1
80;9;Warta Poznań;Zagłębie Lubin;9 września;18:00;1236;2;2
81;9;Widzew Łódź;Cracovia;9 września;20:30;17031;2;0
82;10;Cracovia;Pogoń Szczecin;17 września;20:00;7259;1;1
83;10;Korona Kielce;Górnik Zabrze;18 września;12:30;10615;1;2
84;10;Lechia Gdańsk;Jagiellonia Białystok;17 września;15:00;5872;2;2
85;10;Legia Warszawa;Miedź Legnica;16 września;20:30;18712;3;2
86;10;Piast Gliwice;Śląsk Wrocław;16 września;18:00;3253;1;1
87;10;Raków Częstochowa;Radomiak Radom;17 września;17:30;5126;3;0
88;10;Stal Mielec;Widzew Łódź;17 września;12:30;4953;0;3
89;10;Warta Poznań;Lech Poznań;18 września;17:30;18755;0;1
90;10;Zagłębie Lubin;Wisła Płock;18 września;15:00;3805;2;1
91;11;Górnik Zabrze;Zagłębie Lubin;1 października;15:00;11067;2;3
92;11;Jagiellonia Białystok;Korona Kielce;2 października;15:00;8333;4;1
93;11;Lech Poznań;Legia Warszawa;1 października;17:30;35410;0;0
94;11;Miedź Legnica;Stal Mielec;2 października;12:30;3829;0;2
95;11;Pogoń Szczecin;Lechia Gdańsk;1 października;20:30;20016;2;1
96;11;Radomiak Radom;Cracovia;30 września;18:00;2642;0;2
97;11;Śląsk Wrocław;Warta Poznań;3 października;19:00;5126;0;2
98;11;Widzew Łódź;Raków Częstochowa;2 października;17:30;17532;0;0
99;11;Wisła Płock;Piast Gliwice;30 września;20:30;4203;1;0
100;12;Cracovia;Lechia Gdańsk;8 października;20:00;7358;0;1
101;12;Jagiellonia Białystok;Wisła Płock;7 października;20:30;7731;1;1
102;12;Lech Poznań;Radomiak Radom;9 października;17:30;20883;1;0
103;12;Legia Warszawa;Warta Poznań;8 października;17:30;20031;1;0
104;12;Piast Gliwice;Widzew Łódź;10 października;20:30;4013;1;2
105;12;Raków Częstochowa;Miedź Legnica;10 października;18:00;5282;1;0
106;12;Stal Mielec;Pogoń Szczecin;7 października;18:00;4577;4;2
107;12;Śląsk Wrocław;Górnik Zabrze;8 października;15:00;7506;4;1
108;12;Zagłębie Lubin;Korona Kielce;9 października;15:00;4812;1;1
109;13;Górnik Zabrze;Lech Poznań;16 października;18:30;15918;1;2
110;13;Korona Kielce;Stal Mielec;14 października;18:00;7968;0;2
111;13;Lechia Gdańsk;Raków Częstochowa;15 października;15:00;9051;0;3
112;13;Miedź Legnica;Cracovia;16 października;12:30;3535;1;1
113;13;Pogoń Szczecin;Piast Gliwice;15 października;20:00;17085;1;1
114;13;Radomiak Radom;Śląsk Wrocław;15 października;12:30;2401;2;0
115;13;Warta Poznań;Jagiellonia Białystok;15 października;17:30;1014;2;0
116;13;Widzew Łódź;Zagłębie Lubin;16 października;15:00;16670;3;0
117;13;Wisła Płock;Legia Warszawa;14 października;20:30;4300;2;1
118;14;Cracovia;Lech Poznań;23 października;17:30;12159;0;0
119;14;Legia Warszawa;Pogoń Szczecin;22 października;17:30;21784;1;1
120;14;Piast Gliwice;Radomiak Radom;24 października;18:00;2721;1;2
121;14;Raków Częstochowa;Korona Kielce;22 października;20:00;5237;1;0
122;14;Stal Mielec;Wisła Płock;22 października;15:00;4412;1;1
123;14;Śląsk Wrocław;Jagiellonia Białystok;23 października;15:00;7870;2;2
124;14;Warta Poznań;Górnik Zabrze;23 października;12:30;1638;0;0
125;14;Widzew Łódź;Miedź Legnica;21 października;20:30;16380;1;0
126;14;Zagłębie Lubin;Lechia Gdańsk;24 października;20:30;3280;0;3
127;15;Górnik Zabrze;Widzew Łódź;28 października;20:30;19493;3;0
128;15;Jagiellonia Białystok;Legia Warszawa;29 października;17:30;16635;2;5
129;15;Korona Kielce;Piast Gliwice;29 października;15:00;6628;1;1
130;15;Lech Poznań;Raków Częstochowa;30 października;17:30;22817;1;2
131;15;Lechia Gdańsk;Stal Mielec;30 października;15:00;6920;1;0
132;15;Miedź Legnica;Pogoń Szczecin;28 października;18:00;5332;2;4
133;15;Radomiak Radom;Warta Poznań;31 października;19:00;3485;2;3
134;15;Wisła Płock;Śląsk Wrocław;29 października;20:00;4100;1;2
135;15;Zagłębie Lubin;Cracovia;30 października;12:30;4012;0;2
136;16;Cracovia;Jagiellonia Białystok;5 listopada;15:00;9628;1;0
137;16;Lech Poznań;Korona Kielce;6 listopada;17:30;12745;3;2
138;16;Legia Warszawa;Lechia Gdańsk;4 listopada;20:30;20946;2;1
139;16;Miedź Legnica;Śląsk Wrocław;6 listopada;12:30;5418;1;0
140;16;Piast Gliwice;Warta Poznań;5 listopada;12:30;4235;0;2
141;16;Pogoń Szczecin;Górnik Zabrze;5 listopada;17:30;19615;1;4
142;16;Raków Częstochowa;Wisła Płock;5 listopada;20:00;5367;7;1
143;16;Stal Mielec;Zagłębie Lubin;4 listopada;18:00;4871;3;0
144;16;Widzew Łódź;Radomiak Radom;6 listopada;15:00;17006;1;3
145;17;Górnik Zabrze;Miedź Legnica;12 listopada;15:00;15723;0;3
146;17;Jagiellonia Białystok;Lech Poznań;12 listopada;17:30;10167;1;2
147;17;Korona Kielce;Widzew Łódź;12 listopada;12:30;9385;0;1
148;17;Lechia Gdańsk;Piast Gliwice;13 listopada;15:00;7102;1;3
149;17;Radomiak Radom;Pogoń Szczecin;13 listopada;12:30;3406;1;2
150;17;Śląsk Wrocław;Legia Warszawa;13 listopada;17:30;21947;0;0
151;17;Warta Poznań;Stal Mielec;11 listopada;18:00;2466;1;1
152;17;Wisła Płock;Cracovia;11 listopada;20:30;4197;1;0
